Accident_Index,Date,Local_Authority_District,Accident_Severity,Number_of_Vehicles,Number_of_Casualties,Road_Type,Speed_Limit,Light_Conditions,Weather_Conditions,Road_Surface_Conditions,Urban_or_Rural_Area,Gender,Vehicle_Type,Holiday,School_Season,Festival_Season,Time_of_Day,Accident_Risk,City,State
ACC003201,05-10-2023 23:39,South Division,Slight,1,1,Single carriageway,20,Daylight,Raining no high winds,Frost or ice,Urban,Man,Auto Rickshaw,No,School Vacation,Non-Festival,Night,Medium,Lucknow,Odisha
ACC003202,10/14/2022 04:14:41 PM,Central Region,Slight,1,1,Single carriageway,20,Daylight,Fine no high winds,Dry,Urban,Man,Van,No,School Open,Non-Festival,Night,Medium,Hyderabad,Tripura
ACC003203,12/30/2022 07:55:24 PM,East District,Slight,2,1,Single carriageway,40,Darkness - no lighting,Fine no high winds,Dry,Rural,Woman,Truck,No,School Open,Non-Festival,Morning,Low,Hyderabad,Arunachal Pradesh
ACC003204,11/25/2023 04:27:44 AM,Central Region,Slight,2,1,Slip road,30,Darkness - lights unlit,Raining no high winds,Dry,Rural,Man,SUV,No,School Open,Non-Festival,Morning,Low,Bengaluru,Manipur
ACC003205,01/31/2021 10:27:58 AM,Central Region,Slight,1,1,Dual carriageway,40,Darkness - no lighting,Fine no high winds,Dry,Urban,Woman,Truck,No,School Open,Non-Festival,Afternoon,Low,Shimla,Karnataka
ACC003206,06/30/2024 12:55:46 AM,North Sector,Slight,1,1,One way street,20,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Non-Festival,Evening,Medium,Shimla,Haryana
ACC003207,03/30/2020 10:22:38 AM,North Sector,Slight,2,1,Slip road,30,Darkness - no lighting,Fine no high winds,Wet or damp,Rural,Man,Car,No,School Vacation,Non-Festival,Evening,Medium,Mumbai,Uttar Pradesh
ACC003208,09-08-2023 03:42,East District,Slight,1,2,Roundabout,20,Darkness - lights lit,Fine no high winds,Wet or damp,Rural,Man,Auto Rickshaw,No,School Open,Non-Festival,Afternoon,Low,Kolkata,Odisha
ACC003209,12/31/2023 09:23:49 AM,West Metro,Slight,2,1,Roundabout,20,Darkness - lights unlit,Fine no high winds,Wet or damp,Urban,Woman,Truck,Yes,School Open,Non-Festival,Evening,Medium,Chennai,Madhya Pradesh
ACC003210,04/20/2020 11:57:26 AM,Central Region,Slight,2,1,Dual carriageway,30,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,Man,Van,No,School Open,Non-Festival,Morning,Low,Hyderabad,Kerala
ACC003211,09/16/2021 11:35:13 PM,Central Region,Slight,1,1,Dual carriageway,20,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Festival,Afternoon,Medium,Mumbai,Chhattisgarh
ACC003212,08/21/2020 12:31:53 AM,South Division,Slight,1,1,Single carriageway,30,Daylight,Fine no high winds,Dry,Rural,Man,Auto Rickshaw,Yes,School Vacation,Non-Festival,Night,Medium,Chennai,Goa
ACC003213,10/16/2024 07:24:31 PM,Central Region,Slight,1,1,Dual carriageway,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Bus,No,School Open,Non-Festival,Morning,Low,Shimla,Uttar Pradesh
ACC003214,01-12-2021 21:27,Central Region,Serious,1,1,Slip road,50,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Bus,No,School Vacation,Non-Festival,Afternoon,Low,Bengaluru,Sikkim
ACC003215,07/17/2024 06:13:48 PM,East District,Slight,1,1,One way street,40,Daylight,Fine no high winds,Dry,Urban,Woman,Bus,No,School Open,Non-Festival,Afternoon,Low,Lucknow,Bihar
ACC003216,02-07-2023 12:46,East District,Serious,2,2,Slip road,60,Darkness - lights unlit,Fine no high winds,Dry,Urban,Woman,Bicycle,No,School Open,Festival,Afternoon,Medium,Hyderabad,Odisha
ACC003217,02/19/2022 02:47:59 PM,Downtown Hub,Slight,1,2,Roundabout,30,Daylight,Fine no high winds,Wet or damp,Urban,Woman,Truck,No,School Open,Non-Festival,Evening,Medium,Mumbai,Punjab
ACC003218,04/28/2024 05:18:21 PM,South Division,Serious,2,1,Roundabout,50,Darkness - lights unlit,Raining no high winds,Dry,Urban,Woman,Car,No,School Open,Non-Festival,Evening,Medium,Delhi,Andhra Pradesh
ACC003219,09-11-2020 09:36,East District,Slight,1,1,One way street,20,Daylight,Fine no high winds,Dry,Rural,Man,Van,No,School Vacation,Non-Festival,Night,Medium,Chennai,Punjab
ACC003220,01/19/2020 02:02:22 PM,East District,Slight,2,1,Single carriageway,20,Daylight,Fine no high winds,Dry,Rural,Woman,Car,No,School Vacation,Festival,Afternoon,Medium,Lucknow,Mizoram
ACC003221,06-03-2023 17:20,South Division,Slight,2,1,One way street,30,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,Man,Bicycle,No,School Vacation,Festival,Afternoon,Medium,Hyderabad,Kerala
ACC003222,07/14/2023 05:09:55 AM,Downtown Hub,Slight,2,1,Single carriageway,20,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Car,No,School Open,Festival,Morning,Medium,Shimla,Manipur
ACC003223,04-02-2023 10:02,South Division,Slight,2,1,Roundabout,40,Daylight,Fine no high winds,Wet or damp,Rural,Man,SUV,No,School Vacation,Non-Festival,Evening,Medium,Kolkata,Andhra Pradesh
ACC003224,01-11-2023 22:02,East District,Slight,1,1,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Man,Bus,No,School Vacation,Non-Festival,Afternoon,Low,Chennai,Uttar Pradesh
ACC003225,02/21/2021 10:36:23 AM,Downtown Hub,Slight,2,1,One way street,20,Darkness - lights unlit,Fine no high winds,Dry,Urban,Woman,Van,No,School Open,Festival,Night,High,Shimla,Maharashtra
ACC003226,02/20/2020 10:38:50 AM,South Division,Slight,1,2,One way street,40,Darkness - lights unlit,Fine no high winds,Wet or damp,Urban,Man,Truck,No,School Vacation,Non-Festival,Afternoon,Low,Hyderabad,Goa
ACC003227,11/24/2020 11:02:18 AM,Central Region,Serious,4,3,Slip road,30,Darkness - lights lit,Fine no high winds,Wet or damp,Rural,Man,Car,No,School Open,Non-Festival,Morning,Low,Chennai,Chhattisgarh
ACC003228,11-12-2022 22:49,North Sector,Serious,2,1,One way street,50,Daylight,Fine no high winds,Dry,Urban,Man,Car,Yes,School Open,Non-Festival,Morning,Medium,Lucknow,Karnataka
ACC003229,02/19/2022 08:05:04 PM,West Metro,Slight,3,2,Slip road,40,Darkness - no lighting,Fine no high winds,Wet or damp,Urban,Woman,Motorcycle,No,School Open,Non-Festival,Night,Medium,Hyderabad,Bihar
ACC003230,10-01-2024 16:51,East District,Slight,2,1,Roundabout,40,Darkness - lights unlit,Raining + high winds,Dry,Urban,Man,Motorcycle,No,School Vacation,Non-Festival,Afternoon,Low,Jaipur,Madhya Pradesh
ACC003231,09-08-2024 18:18,North Sector,Serious,2,1,One way street,50,Darkness - lights unlit,Raining no high winds,Dry,Urban,Man,Motorcycle,No,School Open,Non-Festival,Morning,Low,Mumbai,Karnataka
ACC003232,11/20/2023 07:28:46 AM,South Division,Slight,3,1,Slip road,20,Daylight,Fine no high winds,Wet or damp,Rural,Man,Truck,Yes,School Open,Festival,Morning,High,Lucknow,Assam
ACC003233,08/31/2023 03:38:14 PM,North Sector,Slight,2,1,Slip road,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Woman,Bus,No,School Open,Non-Festival,Afternoon,Low,Chennai,Andhra Pradesh
ACC003234,10-12-2023 18:42,South Division,Serious,2,2,Single carriageway,50,Daylight,Fine no high winds,Dry,Rural,Man,Auto Rickshaw,No,School Open,Non-Festival,Morning,Low,Kolkata,Goa
ACC003235,05-12-2022 16:09,North Sector,Slight,2,1,One way street,20,Daylight,Fine no high winds,Wet or damp,Urban,Man,Bus,No,School Open,Non-Festival,Afternoon,Low,Shimla,Nagaland
ACC003236,09-04-2020 13:16,Central Region,Slight,2,2,Dual carriageway,40,Daylight,Fog or mist,Dry,Rural,Man,Van,No,School Open,Festival,Morning,Medium,Delhi,Telangana
ACC003237,02/19/2020 10:10:04 PM,East District,Slight,1,1,Roundabout,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Bus,No,School Open,Non-Festival,Afternoon,Low,Shimla,Jharkhand
ACC003238,11/28/2023 05:15:45 PM,West Metro,Fatal,2,2,Slip road,60,Daylight,Fine no high winds,Dry,Urban,Man,Truck,No,School Vacation,Non-Festival,Morning,Low,Chennai,Chhattisgarh
ACC003239,05/31/2020 11:58:22 PM,East District,Slight,3,2,One way street,40,Darkness - lights unlit,Raining no high winds,Wet or damp,Rural,Man,SUV,Yes,School Vacation,Non-Festival,Afternoon,Medium,Shimla,Tamil Nadu
ACC003240,12-04-2023 04:46,Central Region,Slight,2,1,Dual carriageway,40,Daylight,Raining no high winds,Dry,Rural,Woman,SUV,No,School Vacation,Non-Festival,Evening,Medium,Mumbai,Jharkhand
ACC003241,10-12-2023 20:29,West Metro,Slight,1,1,Roundabout,40,Daylight,Fine no high winds,Dry,Urban,Man,Truck,No,School Open,Non-Festival,Morning,Low,Hyderabad,Kerala
ACC003242,08/31/2021 03:21:03 PM,West Metro,Slight,2,1,One way street,40,Darkness - lights unlit,Fine no high winds,Wet or damp,Rural,Man,Motorcycle,No,School Open,Festival,Afternoon,Medium,Delhi,Arunachal Pradesh
ACC003243,02/25/2022 10:48:11 AM,Downtown Hub,Slight,3,1,Dual carriageway,40,Darkness - no lighting,Raining no high winds,Dry,Rural,Woman,Car,No,School Open,Non-Festival,Afternoon,Low,Pune,Madhya Pradesh
ACC003244,03/23/2023 07:20:06 PM,South Division,Slight,1,1,One way street,30,Darkness - no lighting,Fine no high winds,Frost or ice,Urban,Man,Bicycle,Yes,School Open,Non-Festival,Morning,Medium,Chennai,Haryana
ACC003245,12/18/2024 05:18:58 AM,North Sector,Slight,1,1,Roundabout,20,Darkness - lights lit,Fine no high winds,Dry,Urban,Man,Bicycle,No,School Vacation,Non-Festival,Evening,Medium,Bengaluru,Arunachal Pradesh
ACC003246,02/27/2021 05:53:32 PM,West Metro,Slight,2,1,Slip road,20,Darkness - lights lit,,Wet or damp,Urban,Man,Auto Rickshaw,No,School Open,Non-Festival,Evening,Medium,Pune,Punjab
ACC003247,09/27/2022 12:23:13 AM,Downtown Hub,Slight,1,2,One way street,30,Darkness - lights lit,Raining no high winds,Dry,Rural,Man,Car,No,School Vacation,Non-Festival,Evening,Medium,Shimla,Andhra Pradesh
ACC003248,08/27/2021 03:45:45 AM,East District,Slight,3,1,Roundabout,30,Daylight,Fine + high winds,Wet or damp,Urban,Woman,Auto Rickshaw,No,School Open,Non-Festival,Morning,Low,Chennai,Chhattisgarh
ACC003249,07/24/2021 11:42:07 PM,North Sector,Slight,3,1,Single carriageway,40,Darkness - lights unlit,Snowing no high winds,Frost or ice,Urban,Man,Motorcycle,No,School Vacation,Festival,Afternoon,Medium,Jaipur,Himachal Pradesh
ACC003250,11-04-2022 10:17,Downtown Hub,Slight,2,1,Roundabout,20,Daylight,Fine no high winds,Dry,Rural,Woman,Auto Rickshaw,No,School Open,Non-Festival,Morning,Low,Bengaluru,Mizoram
ACC003251,07/24/2020 10:50:33 PM,Downtown Hub,Slight,1,1,Single carriageway,40,Daylight,Fine no high winds,Wet or damp,Urban,Man,Car,No,School Open,Non-Festival,Afternoon,Low,Delhi,Himachal Pradesh
ACC003252,10-07-2020 18:24,East District,Slight,3,1,Dual carriageway,30,Darkness - no lighting,Fine + high winds,Wet or damp,Urban,Man,Van,No,School Open,Festival,Afternoon,Medium,Kolkata,Karnataka
ACC003253,02-11-2024 15:18,Downtown Hub,Slight,1,1,Dual carriageway,40,Daylight,Fine no high winds,Dry,Rural,Man,Car,No,School Open,Non-Festival,Afternoon,Low,Jaipur,Manipur
ACC003254,05/17/2020 03:35:39 PM,Downtown Hub,Slight,1,1,Roundabout,30,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Bicycle,No,School Open,Festival,Evening,High,Pune,Telangana
ACC003255,07/30/2023 11:30:33 AM,,Slight,2,1,Roundabout,30,Darkness - no lighting,Fine no high winds,Wet or damp,Rural,Man,SUV,No,School Open,Non-Festival,Morning,Low,Hyderabad,Goa
ACC003256,06/19/2024 08:25:38 PM,North Sector,Slight,1,1,Single carriageway,20,Darkness - lights unlit,Fine no high winds,Dry,Rural,Woman,Motorcycle,No,School Open,Non-Festival,Night,Medium,Mumbai,Tamil Nadu
ACC003257,07-04-2022 10:15,Downtown Hub,Slight,2,1,Single carriageway,30,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Van,No,School Vacation,Non-Festival,Morning,Low,Kolkata,Assam
ACC003258,12/14/2023 04:49:56 AM,West Metro,Slight,2,1,One way street,30,Darkness - lights lit,Fine no high winds,Wet or damp,Urban,Woman,Truck,No,School Open,Non-Festival,Evening,Medium,Jaipur,Mizoram
ACC003259,08/18/2021 08:32:13 AM,West Metro,Slight,2,1,Roundabout,20,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Van,No,School Open,Festival,Afternoon,Medium,Hyderabad,Chhattisgarh
ACC003260,04/22/2022 12:51:28 PM,South Division,Slight,2,1,One way street,20,Darkness - lights lit,Fine no high winds,Dry,Rural,Woman,Van,No,School Open,Non-Festival,Night,Medium,Hyderabad,West Bengal
ACC003261,07/27/2023 01:19:28 AM,West Metro,Serious,2,1,Dual carriageway,40,Daylight,Raining no high winds,Dry,Rural,Woman,Auto Rickshaw,No,School Open,Non-Festival,Morning,Low,Chennai,Kerala
ACC003262,09/21/2020 07:34:01 PM,Central Region,Slight,3,1,Roundabout,30,Darkness - lights unlit,Fine no high winds,Dry,Urban,Woman,Bicycle,No,School Open,Non-Festival,Afternoon,Low,Jaipur,Nagaland
ACC003263,09-03-2023 01:33,West Metro,Slight,1,1,One way street,20,Darkness - lights lit,Fine no high winds,Wet or damp,Rural,Woman,Auto Rickshaw,No,School Open,Non-Festival,Afternoon,Low,Delhi,Maharashtra
ACC003264,06/29/2024 05:58:23 AM,North Sector,Slight,1,1,Single carriageway,40,Daylight,,Dry,Urban,Woman,Auto Rickshaw,No,School Open,Non-Festival,Night,Medium,Shimla,Rajasthan
ACC003265,03/26/2024 04:06:32 PM,South Division,Slight,1,1,Roundabout,20,Daylight,Fine no high winds,Wet or damp,Urban,Man,Truck,No,School Open,Festival,Night,High,Bengaluru,Telangana
ACC003266,07/17/2023 10:15:02 PM,Downtown Hub,Serious,2,1,One way street,60,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Morning,Low,Bengaluru,Karnataka
ACC003267,10/31/2024 02:04:04 AM,East District,Slight,2,1,Single carriageway,40,Daylight,Fine no high winds,Dry,Urban,Man,Car,No,School Open,Non-Festival,Evening,Medium,Pune,Himachal Pradesh
ACC003268,07/14/2020 11:37:50 PM,South Division,Slight,1,1,One way street,30,Daylight,Fine no high winds,Dry,Rural,Woman,Bus,No,School Open,Non-Festival,Afternoon,Low,Pune,Arunachal Pradesh
ACC003269,07/15/2021 02:12:06 PM,East District,Slight,1,1,Roundabout,30,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Auto Rickshaw,Yes,School Open,Festival,Morning,High,Bengaluru,Kerala
ACC003270,03/31/2021 01:35:17 PM,West Metro,Slight,2,2,Dual carriageway,40,Darkness - no lighting,Fine no high winds,Dry,Urban,Woman,Bus,No,School Open,Non-Festival,Morning,Low,Delhi,Assam
ACC003271,10/14/2022 11:25:23 PM,North Sector,Slight,2,1,Slip road,30,Daylight,Raining no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Festival,Night,High,Mumbai,Assam
ACC003272,04/28/2024 07:28:23 AM,South Division,Slight,2,1,Dual carriageway,30,Daylight,Fine no high winds,Wet or damp,Urban,Man,Bus,Yes,School Open,Non-Festival,Afternoon,Medium,Lucknow,Andhra Pradesh
ACC003273,02/22/2023 05:13:55 AM,North Sector,Slight,3,1,One way street,20,Darkness - no lighting,Fine no high winds,Frost or ice,Urban,Man,Auto Rickshaw,No,School Open,Non-Festival,Morning,Low,Shimla,Haryana
ACC003274,04/30/2020 03:16:26 PM,Central Region,Serious,2,1,Roundabout,40,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Truck,No,School Open,Festival,Morning,Medium,Mumbai,Sikkim
ACC003275,07-03-2021 22:13,South Division,Slight,2,1,Dual carriageway,30,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Bus,Yes,School Vacation,Festival,Afternoon,High,Chennai,West Bengal
ACC003276,12/22/2023 03:32:35 PM,Central Region,Slight,2,2,One way street,20,Daylight,Fine no high winds,Wet or damp,Rural,Man,Motorcycle,No,School Open,Non-Festival,Afternoon,Low,Lucknow,Haryana
ACC003277,09/17/2020 12:10:33 AM,Central Region,Slight,2,1,Single carriageway,30,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Afternoon,Low,Lucknow,Karnataka
ACC003278,12/15/2020 08:51:33 PM,East District,Slight,2,1,One way street,40,Daylight,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Festival,Afternoon,Medium,Jaipur,Himachal Pradesh
ACC003279,08/28/2020 01:18:46 PM,South Division,Slight,3,1,Slip road,40,Darkness - lights unlit,Raining + high winds,Dry,Urban,Man,SUV,Yes,School Open,Non-Festival,Morning,Medium,Delhi,Chhattisgarh
ACC003280,10/16/2020 09:33:43 AM,South Division,Slight,1,1,Slip road,40,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Truck,No,School Open,Non-Festival,Afternoon,Low,Delhi,Maharashtra
ACC003281,08-05-2022 06:59,North Sector,Slight,3,1,Slip road,20,Darkness - no lighting,Fine no high winds,Dry,Urban,Woman,Bus,No,School Vacation,Non-Festival,Morning,Low,Lucknow,West Bengal
ACC003282,10-12-2021 13:11,South Division,Slight,2,2,Dual carriageway,20,Darkness - lights lit,,Dry,Urban,Man,Bus,No,School Vacation,Festival,Night,High,Jaipur,Assam
ACC003283,01-06-2023 14:21,Central Region,Serious,1,1,Roundabout,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Festival,Morning,Medium,Shimla,Rajasthan
ACC003284,07-11-2023 00:59,West Metro,Slight,1,1,Roundabout,30,Darkness - lights unlit,Raining no high winds,Frost or ice,Rural,Man,Car,No,School Open,Non-Festival,Evening,Medium,Lucknow,Chhattisgarh
ACC003285,06-05-2021 17:34,Central Region,Slight,2,1,Dual carriageway,20,Darkness - lights unlit,Fine no high winds,Snow,Urban,Man,Bicycle,Yes,School Vacation,Non-Festival,Afternoon,Medium,Kolkata,Chhattisgarh
ACC003286,06/22/2021 06:06:08 PM,South Division,Slight,2,1,Slip road,30,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Vacation,Non-Festival,Afternoon,Low,Pune,Odisha
ACC003287,03-04-2021 05:00,North Sector,Serious,2,1,Dual carriageway,40,Darkness - no lighting,Fine no high winds,Dry,Urban,Man,Car,No,School Open,Non-Festival,Afternoon,Low,Pune,Uttarakhand
ACC003288,10/24/2021 02:57:03 AM,Downtown Hub,Slight,1,1,One way street,30,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Evening,Medium,Mumbai,Maharashtra
ACC003289,10/21/2022 03:15:35 AM,East District,Slight,1,1,Roundabout,40,Darkness - lights unlit,Fine no high winds,Dry,Rural,Man,Van,No,School Open,Festival,Night,High,Chennai,Uttar Pradesh
ACC003290,12/22/2022 02:56:38 AM,Downtown Hub,Serious,3,3,Dual carriageway,50,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,Van,No,School Open,Non-Festival,Afternoon,Low,Pune,Bihar
ACC003291,09/30/2022 10:50:16 PM,Downtown Hub,Slight,2,1,Roundabout,30,Darkness - lights lit,Raining no high winds,Wet or damp,Urban,Woman,Car,No,School Open,Non-Festival,Morning,Low,Hyderabad,Tripura
ACC003292,11-08-2024 11:54,North Sector,Slight,2,1,Slip road,30,Darkness - lights lit,Raining no high winds,Dry,Rural,Woman,Van,No,School Vacation,Non-Festival,Evening,Medium,Mumbai,Madhya Pradesh
ACC003293,02-05-2022 05:59,West Metro,Slight,3,1,Dual carriageway,30,Daylight,Fine no high winds,Dry,Rural,Man,SUV,Yes,School Open,Non-Festival,Morning,Medium,Pune,Jharkhand
ACC003294,11-03-2021 03:58,,Slight,3,1,Roundabout,20,Daylight,Fine no high winds,Dry,Rural,Man,SUV,No,School Vacation,Non-Festival,Evening,Medium,Chennai,Tripura
ACC003295,08-07-2023 15:25,Downtown Hub,Slight,3,1,Single carriageway,30,Daylight,Fine no high winds,Wet or damp,Rural,Man,Bicycle,No,School Open,Non-Festival,Morning,Low,Delhi,Nagaland
ACC003296,05/29/2023 08:29:31 PM,West Metro,Slight,1,1,Single carriageway,40,Daylight,Fine no high winds,Dry,Rural,Man,Car,No,School Open,Non-Festival,Evening,Medium,Delhi,Haryana
ACC003297,02/29/2020 07:57:45 PM,Central Region,Slight,1,1,One way street,20,Daylight,Fine no high winds,Wet or damp,Urban,Woman,Motorcycle,No,School Open,Non-Festival,Afternoon,Low,Shimla,Haryana
ACC003298,06/27/2022 08:45:03 PM,North Sector,Slight,1,1,Slip road,30,Daylight,Fine no high winds,Wet or damp,Rural,Man,Bus,No,School Open,Non-Festival,Morning,Low,Lucknow,Gujarat
ACC003299,09-10-2024 21:54,Downtown Hub,Slight,1,1,Roundabout,40,Daylight,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Evening,Medium,Kolkata,Haryana
ACC003300,05-02-2022 21:42,North Sector,Slight,1,1,Roundabout,40,Daylight,Raining + high winds,Dry,Urban,Man,Auto Rickshaw,No,School Open,Non-Festival,Afternoon,Low,Delhi,Maharashtra
ACC003301,06/27/2022 01:17:38 AM,Downtown Hub,Serious,1,1,Single carriageway,40,Darkness - lights unlit,Raining no high winds,Dry,Rural,Woman,SUV,No,School Vacation,Non-Festival,Morning,Low,Jaipur,Odisha
ACC003302,02/22/2023 11:07:21 AM,West Metro,Serious,2,2,One way street,30,Daylight,Fine no high winds,Dry,Urban,Man,Truck,No,School Vacation,Non-Festival,Afternoon,Low,Pune,Goa
ACC003303,07-04-2020 05:46,North Sector,Slight,1,1,Single carriageway,20,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Truck,No,School Open,Non-Festival,Afternoon,Low,Jaipur,Andhra Pradesh
ACC003304,07/31/2022 02:56:46 AM,Downtown Hub,Slight,3,1,Dual carriageway,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,SUV,Yes,School Open,Non-Festival,Morning,Medium,Chennai,Tamil Nadu
ACC003305,04/19/2020 12:45:18 PM,East District,Slight,1,1,Dual carriageway,30,Darkness - lights lit,Raining no high winds,Dry,Rural,Man,Auto Rickshaw,Yes,School Open,Non-Festival,Night,Medium,Delhi,Manipur
ACC003306,12/14/2024 06:11:18 AM,East District,Serious,2,1,Roundabout,30,Darkness - lights unlit,Fine no high winds,Wet or damp,Rural,Man,Truck,No,School Vacation,Non-Festival,Evening,Medium,Kolkata,Andhra Pradesh
ACC003307,04/30/2024 08:33:28 PM,Central Region,Slight,2,1,Slip road,20,Darkness - no lighting,Raining no high winds,Dry,Urban,Man,Van,Yes,School Open,Non-Festival,Morning,Medium,Chennai,Tripura
ACC003308,01-06-2023 18:13,South Division,Slight,2,1,Dual carriageway,40,Darkness - lights unlit,Fine no high winds,Frost or ice,Rural,Man,SUV,No,School Open,Non-Festival,Night,Medium,Hyderabad,Mizoram
ACC003309,07-04-2020 16:49,Central Region,Serious,2,1,Slip road,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Truck,Yes,School Open,Non-Festival,Afternoon,Medium,Hyderabad,Andhra Pradesh
ACC003310,10/13/2020 02:37:20 PM,Central Region,Slight,1,1,Roundabout,40,Daylight,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Festival,Evening,High,Jaipur,Manipur
ACC003311,11/15/2024 12:10:26 AM,North Sector,Slight,2,1,Roundabout,20,Darkness - lights unlit,Raining no high winds,Dry,Urban,Man,Bicycle,Yes,School Open,Non-Festival,Afternoon,Medium,Lucknow,Tamil Nadu
ACC003312,08/14/2022 05:11:48 PM,West Metro,Slight,1,1,Slip road,30,Darkness - no lighting,Raining no high winds,Dry,Rural,Man,Bus,No,School Vacation,Non-Festival,Evening,Medium,Mumbai,Arunachal Pradesh
ACC003313,08/27/2022 07:16:46 AM,East District,Slight,1,1,Roundabout,40,Daylight,Fog or mist,Wet or damp,Urban,Man,Bus,No,School Vacation,Festival,Evening,High,Lucknow,Maharashtra
ACC003314,04-11-2024 16:06,East District,Slight,2,1,Slip road,40,Daylight,Fine no high winds,Wet or damp,Urban,Woman,Motorcycle,No,School Open,Festival,Evening,High,Shimla,Rajasthan
ACC003315,11/14/2022 05:59:19 AM,West Metro,Serious,3,3,Dual carriageway,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Auto Rickshaw,No,School Open,Festival,Morning,Medium,Lucknow,Haryana
ACC003316,06-02-2024 01:05,East District,Slight,2,1,One way street,30,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Non-Festival,Afternoon,Low,Shimla,Haryana
ACC003317,01-02-2020 21:09,North Sector,Slight,2,1,Dual carriageway,20,Darkness - lights lit,Fine no high winds,Wet or damp,Rural,Man,Car,No,School Vacation,Non-Festival,Afternoon,Low,Shimla,Odisha
ACC003318,07-03-2020 23:15,Central Region,Slight,2,1,One way street,30,Darkness - lights lit,Fine no high winds,Wet or damp,Rural,Man,Motorcycle,Yes,School Open,Non-Festival,Morning,Medium,Kolkata,Gujarat
ACC003319,07/23/2020 03:35:43 PM,Downtown Hub,Slight,1,1,One way street,30,Darkness - no lighting,Fine no high winds,Wet or damp,Urban,Woman,Motorcycle,No,School Open,Non-Festival,Afternoon,Low,Delhi,Odisha
ACC003320,04-11-2024 03:24,South Division,Slight,1,2,Roundabout,30,Darkness - no lighting,Fine no high winds,Dry,Rural,Man,SUV,No,School Open,Non-Festival,Evening,Medium,Kolkata,Goa
ACC003321,12/29/2022 02:22:31 AM,North Sector,Slight,2,2,Slip road,20,Darkness - lights lit,Fine + high winds,Wet or damp,Urban,Woman,SUV,No,School Open,Non-Festival,Night,Medium,Shimla,Goa
ACC003322,01/25/2022 11:21:32 AM,Central Region,Serious,3,2,Dual carriageway,60,Darkness - lights lit,Snowing no high winds,Wet or damp,Rural,Man,Motorcycle,Yes,School Open,Non-Festival,Afternoon,Medium,Chennai,Assam
ACC003323,01/19/2021 01:13:19 AM,North Sector,Slight,2,1,One way street,40,Darkness - lights lit,Fine no high winds,Dry,Rural,Man,Motorcycle,No,School Open,Non-Festival,Morning,Low,Hyderabad,Gujarat
ACC003324,09/29/2021 12:43:52 PM,North Sector,Slight,2,1,Dual carriageway,30,Darkness - no lighting,Raining no high winds,Dry,Urban,Woman,Bus,No,School Open,Non-Festival,Night,Medium,Shimla,Odisha
ACC003325,08-10-2022 02:22,Central Region,Serious,3,2,Dual carriageway,60,Darkness - lights unlit,Fine no high winds,Dry,Urban,Woman,Car,No,School Open,Non-Festival,Night,Medium,Kolkata,Haryana
ACC003326,03/22/2023 04:24:43 PM,East District,Slight,2,1,One way street,40,Daylight,Raining no high winds,Wet or damp,Rural,Woman,Van,No,School Open,Non-Festival,Afternoon,Low,Chennai,Jharkhand
ACC003327,05/20/2022 08:47:40 AM,West Metro,Serious,1,2,Roundabout,60,Darkness - no lighting,Fine no high winds,Dry,Rural,Woman,Motorcycle,No,School Open,Festival,Morning,Medium,Kolkata,Punjab
